"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Michigan","Michigan,Wisconsin",NA,NA,NA,"Erebia discoidalis","https://services.itis.gov/?q=tsn:778134","Red-disked Alpine","Insects","Species","Exact Match","Erebia discoidalis"
"Missouri","",NA,NA,NA,"Solidago patula","https://services.itis.gov/?q=tsn:36288","roundleaf goldenrod","Plants","Species","Exact Match","Solidago patula"
"Vermont","Vermont",NA,NA,NA,"Castilleja septentrionalis","https://services.itis.gov/?q=tsn:33166","Labrador Indian paintbrush","Plants","Species","Exact Match","Castilleja septentrionalis"
"Illinois","Illinois",NA,NA,NA,"Pyrausta orphisalis","https://www.sciencebase.gov/catalog/file/get/56d720ece4b015c306f442d5?f=__disk__4f%2F17%2F79%2F4f177961623ebb82cc1084ca05f4d2d4ecbae7cd","Orange Mint Moth","Other","Undetermined","Historic Match","Pyrausta orphisalis"
"Georgia,Ohio,Virginia,West Virginia","Georgia,Virginia,West Virginia",NA,NA,NA,"Percina sciera","https://services.itis.gov/?q=tsn:168475","dusky darter","Fish","Species","Exact Match","Percina sciera"
"Georgia,Maine,Maryland,Massachusetts,Michigan,New Jersey,Ohio,Pennsylvania,Vermont,Virginia,West Virginia","Maine,Maryland,Massachusetts,Michigan,Pennsylvania,Vermont,Virginia,West Virginia",NA,NA,NA,"Erora laeta","https://services.itis.gov/?q=tsn:777882","Early Hairstreak","Insects","Species","Exact Match","Erora laeta"
"Alaska,Delaware,Maine,New Jersey,New York,Oregon,Rhode Island,Virginia","Alaska,Connecticut,Delaware,Maryland,Massachusetts,New York,Washington","Status Undefined","A0I7","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=A0I7","Phocoena phocoena","https://services.itis.gov/?q=tsn:180473","Harbor Porpoise","Mammals","Species","Exact Match","Phocoena phocoena"
"Indiana","Indiana,Kansas",NA,NA,NA,"Agkistrodon piscivorus","https://services.itis.gov/?q=tsn:174299","Cottonmouth","Reptiles","Species","Exact Match","Agkistrodon piscivorus"
"Connecticut,Nebraska,Vermont","Nebraska,Vermont",NA,NA,NA,"Asclepias amplexicaulis","https://services.itis.gov/?q=tsn:30244","clasping milkweed","Plants","Species","Exact Match","Asclepias amplexicaulis"
"Maine","",NA,NA,NA,"Baetisca berneri","https://services.itis.gov/?q=tsn:568672","A Mayfly","Insects","Species","Exact Match","Baetisca berneri"
"California","California","Endangered","I0LW","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0LW","Pyrgus ruralis lagunae","https://services.itis.gov/?q=tsn:707413","Laguna Mountains Skipper","Insects","Subspecies","Exact Match","Pyrgus ruralis lagunae"
"Alaska,New Jersey","Alaska,Michigan,Ohio,Virgin Islands",NA,NA,NA,"Charadrius vociferus","https://services.itis.gov/?q=tsn:176520","Killdeer","Birds","Species","Exact Match","Charadrius vociferous, Charadrius vociferus"
"Virginia","Virginia",NA,NA,NA,"Wyeomyia haynei","https://services.itis.gov/?q=tsn:126090","Southern pitcher plant mosquito","Insects","Species","Exact Match","Wyeomyia haynei"
"Maine,New Jersey,Pennsylvania,West Virginia","Pennsylvania,West Virginia",NA,NA,NA,"Empidonax flaviventris","https://services.itis.gov/?q=tsn:178338","Yellow-bellied Flycatcher","Birds","Species","Exact Match","Empidonax flaviventris"
"Florida","",NA,NA,NA,"Plestiodon egregius onocrepis",NA,"Peninsula Mole Skink","Other","Undetermined","Not Matched","Plestiodon egregius onocrepis"
"Colorado","",NA,NA,NA,"Physa gyrina utahensis",NA,"Utah Physa","Other","Undetermined","Not Matched","Physa gyrina utahensis"
"Florida","Florida",NA,NA,NA,"Anomala robinsoni","https://services.itis.gov/?q=tsn:928874","Robinson's Anomala Scarab Beetle","Insects","Species","Exact Match","Anomala robinsoni"
"Georgia","",NA,NA,NA,"Elimia induta","http://www.marinespecies.org/rest/AphiaRecordByAphiaID/1116843","Gem Elimia","Mollusks","Species","Exact Match","Elimia induta"
"Tennessee","",NA,NA,NA,"Hypericum graveolens","https://services.itis.gov/?q=tsn:21442","mountain St. Johnswort","Plants","Species","Exact Match","Hypericum graveolens"
"Arizona","Arizona","Under Review in the Candidate or Petition Process","G04Y","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=G04Y","Pyrgulopsis arizonae","https://services.itis.gov/?q=tsn:568185","Apache springsnail","Mollusks","Species","Exact Match","Pyrgulopsis arizonae"
