"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Pleurocera acuta","Sharp Hornsnail","Species","Exact Match","Pleurocera acuta","Kansas,Minnesota,Vermont","Kansas,Vermont",3,2,1
"Pluvialis dominica","American Golden-Plover","Species","Exact Match","Pluvialis dominica","Alaska,Delaware,Illinois,Iowa,Kansas,Kentucky,Minnesota,New Jersey,New York,Oklahoma,South Carolina,Tennessee,Texas,Virgin Islands,Wisconsin","Alaska,Arkansas,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,New Jersey,Oklahoma,South Carolina,Tennessee,Texas",15,14,1
"Pluvialis squatarola","Black-bellied Plover","Species","Exact Match","Pluvialis squatarola","Alaska,Arkansas,Delaware,Kansas,Maryland,New York,Rhode Island,South Carolina,Virginia,Virgin Islands","Alaska,Arkansas,Delaware,Florida,Iowa,Kansas,Maine,Maryland,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Virginia",10,14,-4
"Poa chapmaniana","Chapman's Bluegrass","Species","Exact Match","Poa chapmaniana","","Nebraska",0,1,-1
"Poa fendleriana ssp. fendleriana","Muttongrass","Subspecies","Exact Match","Poa fendleriana ssp. fendleriana","","Nebraska",0,1,-1
"Poanes hobomok","Hobomok Skipper","Species","Exact Match","Poanes hobomok","Delaware","Delaware,Nebraska",1,2,-1
"Poanes massasoit","Mulberry Wing","Species","Exact Match","Poanes massasoit","Delaware,Iowa,Pennsylvania,Rhode Island,Vermont","Iowa,Nebraska,Ohio,Pennsylvania,Vermont",5,5,0
"Poanes taxiles","Taxiles Skipper","Species","Exact Match","Poanes taxiles","","Nebraska",0,1,-1
"Poanes viator viator","Broad-winged Skipper","Subspecies","Exact Match","Poanes viator viator","Indiana,Nebraska,Pennsylvania","Nebraska,Ohio,Pennsylvania",3,3,0
"Poanes zabulon","Zabulon Skipper","Species","Exact Match","Poanes zabulon","Iowa","Nebraska",1,1,0
"Podiceps auritus","Horned Grebe","Species","Exact Match","Podiceps auritus","Alaska,Connecticut,Delaware,Kentucky,Maryland,Minnesota,Montana,New Jersey,New York,North Dakota,South Carolina,Texas,Virginia,Wisconsin","Delaware,Florida,Kentucky,Maine,Maryland,Minnesota,New Jersey,New York,North Dakota,Pennsylvania,Rhode Island,South Carolina",14,12,2
"Podiceps nigricollis","Eared Grebe","Species","Exact Match","Podiceps nigricollis","Arizona,Colorado,Kansas,Minnesota,Nevada,New Mexico,Texas","Iowa,Kansas,Minnesota,New Mexico",7,4,3
"Podophyllum peltatum","May-apple","Species","Exact Match","Podophyllum peltatum","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Poladryas arachne arachne","Arachne Checkerspot","Subspecies","Exact Match","Poladryas arachne arachne","","Nebraska",0,1,-1
"Polemonium reptans","Creeping Polemonium","Species","Exact Match","Polemonium reptans","","Nebraska",0,1,-1
"Poliocitellus franklinii","Franklin''s Ground Squirrel","Species","Followed Accepted TSN","Poliocitellus franklinii,Spermophilus franklinii,Spermophylus franklinii","Illinois,Indiana,Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin","Illinois,Indiana,Iowa,Kansas,Minnesota,Missouri,South Dakota,Wisconsin",9,8,1
"Polioptila caerulea","Blue-gray Gnatcatcher","Species","Exact Match","Polioptila caerulea","Connecticut,Maine,Montana,Nebraska,Ohio,Oregon","Montana,Ohio",6,2,4
"Polites mystic","Long dash","Species","Exact Match","Polites mystic","Maryland,Pennsylvania,Virginia","Iowa,Maryland,Nebraska,New Jersey,Ohio,Pennsylvania,Virginia",3,7,-4
"Polites origenes","Crossline Skipper","Species","Exact Match","Polites origenes,Polites origines","District of Columbia","District of Columbia,Florida,Iowa,Nebraska,Wisconsin",1,5,-4
"Polites rhesus","Rhesus skipper","Species","Exact Match","Polites rhesus","Colorado","Colorado,Nebraska",1,2,-1
"Polygala senega","Seneca snakeroot","Species","Exact Match","Polygala senega","Vermont","Nebraska",1,1,0
"Polygonia progne","Gray Comma","Species","Exact Match","Polygonia progne","Connecticut,Delaware,Maryland,Montana,West Virginia","Arkansas,Delaware,Maryland,Nebraska,New Jersey,Ohio,West Virginia",5,7,-2
"Polygonum douglasii","Douglas' Knotweed","Species","Exact Match","Polygonum douglasii","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Polygonum erectum","Erect Knotweed","Species","Exact Match","Polygonum erectum","Vermont","Nebraska,Vermont",1,2,-1
"Polygonum sawatchense ssp. sawatchense","Rocky Mountain Knotweed","Subspecies","Exact Match","Polygonum sawatchense ssp. sawatchense       G4G5TNRS1S3","","Nebraska",0,1,-1
"Polyodon spathula","Paddlefish","Species","Exact Match","Polydon spathula,Polyodon spathula","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Missouri,Montana,Nebraska,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,West Virginia,Wisconsin",21,21,0
"Pomaria jamesii","James'' Rushpea","Species","Exact Match","Pomaria jamesii","Nebraska","Nebraska",1,1,0
"Pomatiopsis lapidaria","Slender Walker","Species","Exact Match","Pomatiopsis lapidaria","Connecticut,Delaware,Kansas,Massachusetts,Pennsylvania","Connecticut,Delaware,Kansas,Massachusetts,Pennsylvania",5,5,0
"Pompeius verna","Little Glassywing","Species","Exact Match","Pompeius verna","Delaware,District of Columbia,Wisconsin","Delaware,District of Columbia,Iowa,Nebraska",3,4,-1
"Pontia occidentalis","Western White","Species","Exact Match","Pontia occidentalis","","Nebraska",0,1,-1
"Populus angustifolia","Narrow-leaf Cottonwood","Species","Exact Match","Populus angustifolia","","Nebraska",0,1,-1
"Populus tremuloides","Quaking Aspen","Species","Exact Match","Populus tremuloides","Missouri,Nebraska","Nebraska",2,1,1
"Populus X acuminata","Lance-leaf Cottonwood","Species","Exact Match","Populus acuminata","","Nebraska",0,1,-1
"Populus X smithii","Smith''s Hybrid Aspen","Species","Exact Match","Populus smithii","","Nebraska",0,1,-1
"Portulaca pilosa","Kiss-me-quick","Species","Exact Match","Portulaca pilosa","","Nebraska",0,1,-1
"Potamilus alatus","Pink Heelsplitter","Species","Exact Match","Potamilus alatus,Potomilus alatus","Arkansas,Kansas,Mississippi,New York,North Dakota,Pennsylvania,Vermont","Arkansas,Iowa,Kansas,Michigan,Mississippi,New York,North Dakota,Vermont,Virginia",7,9,-2
"Potamilus ohiensis","Pink Papershell","Species","Exact Match","Potamilus ohiensis","Kansas,North Dakota,Wisconsin","Iowa,Michigan,North Dakota,Pennsylvania",3,4,-1
"Potamilus purpuratus","Bleufer","Species","Exact Match","Potamilus purpuratus","Georgia,Kansas,Kentucky,Oklahoma","Illinois,Kansas,Kentucky",4,3,1
"Potamogeton amplifolius","Large-leaf Pondweed","Species","Exact Match","Potamogeton amplifolius","","Nebraska,Tennessee",0,2,-2
"Potamogeton diversifolius","Water-thread Pondweed","Species","Exact Match","Potamogeton diversifolius","Nebraska","Nebraska",1,1,0
"Potamogeton friesii","Fries'' Pondweed","Species","Exact Match","Potamogeton friesii","Nebraska","Massachusetts,Nebraska",1,2,-1
"Potamogeton praelongus","White-stem Pondweed","Species","Exact Match","Potamogeton praelongus","Nebraska","Nebraska",1,1,0
"Potamogeton strictifolius","Straight-leaf Pondweed","Species","Exact Match","Potamogeton strictifolius","Nebraska,Vermont","Massachusetts,Nebraska",2,2,0
"Potentilla anserina","Silverweed","Species","Exact Match","Potentilla anserina","Nebraska","Nebraska",1,1,0
"Potentilla effusa var. effusa","Woolly Cinquefoil","Variety","Followed Accepted TSN","Potentilla effusa var. effusa,Potentilla hippiana ssp. effusa","Nebraska","Nebraska",1,1,0
"Potentilla effusa var. rupincola","Rocky Mountain cinquefoil","Variety","Followed Accepted TSN","Potentilla rupincola","","Colorado",0,1,-1
"Potentilla plattensis","Platte River Cinquefoil","Species","Exact Match","Potentilla plattensis","Nebraska","Nebraska",1,1,0
"Potentilla simplex","Old-field Cinquefoil","Species","Exact Match","Potentilla simplex","","Nebraska",0,1,-1
"Prenanthes racemosa","Purple Rattlesnake-root","Species","Followed Accepted TSN","Prenanthes racemosa,Prenanthes racemosa var. multiflora","Missouri,Nebraska","Nebraska",2,1,1
"Primula pauciflora var. pauciflora","Plains Shooting Star","Variety","Followed Accepted TSN","Dodecatheon pulchellum,Primula pauciflora var. pauciflora","Nebraska","Nebraska",1,1,0
"Problema byssus","Byssus Skipper","Species","Exact Match","Problema byssus","Arkansas,Illinois,Indiana,Iowa,Kansas,Oklahoma,Wisconsin","Arkansas,Illinois,Iowa,Kansas,Oklahoma,Wisconsin",7,6,1
"Problema byssus kumskaka","Byssus Skipper","Subspecies","Exact Match","Problema byssus kumskaka","","Nebraska",0,1,-1
"Probythinella emarginata","Delta hydrobe","Species","Exact Match","Probythinella emarginata","Kansas","Kansas",1,1,0
"Procambarus gracilis","Prairie Crayfish","Species","Exact Match","Procambarus gracilis","Kansas,Wisconsin","Iowa,Kansas,Wisconsin",2,3,-1
"Procambarus simulans","Southern Plains Crayfish","Species","Exact Match","Procambarus simulans","Kansas","Kansas,New Mexico",1,2,-1
"Progne subis","Purple Martin","Species","Exact Match","Progne subis","California,Connecticut,Maine,Michigan,New Hampshire,Ohio,Oregon,Rhode Island,Vermont,Washington","California,Colorado,Connecticut,District of Columbia,Florida,Iowa,Maine,Massachusetts,Minnesota,New Hampshire,New Jersey,Pennsylvania,South Carolina,Vermont,Washington,Wisconsin",10,16,-6
"Promenetus exacuous","Sharp Sprite","Species","Exact Match","Promenetus exacuous","Colorado,Utah,Virginia,Wyoming","Arizona,Colorado,Delaware,Pennsylvania,Virginia",4,5,-1
"Promenetus umbilicatellus","Cockerell","Species","Fuzzy Match","Promenetus umbilicatellus,Promenetus umbillicatellus","Colorado,Pennsylvania,Wyoming","Colorado",3,1,2
"Prosartes trachycarpa","Rough-fruit Fairybells","Species","Exact Match","Prosartes trachycarpa","","Nebraska",0,1,-1
"Proserpinus flavofasciata","Yellow-banded day sphinx","Species","Exact Match","Proserpinus flavofasciata","Colorado,Michigan","Colorado,Michigan",2,2,0
"Prosopium williamsoni","Mountain Whitefish","Species","Exact Match","Prosopium williamsoni","California,Wyoming","Nevada,Wyoming",2,2,0
"Protonotaria citrea","Prothonotary Warbler","Species","Fuzzy Match","Protonaria citrea,Protonotaria citrea","Arkansas,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Virginia,Virgin Islands,West Virginia,Wisconsin","Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",26,26,0
"Prunus angustifolia","Chickasaw Plum","Species","Exact Match","Prunus angustifolia","","Nebraska",0,1,-1
"Prunus hortulana","Wild-goose Plum","Species","Exact Match","Prunus hortulana","","Nebraska",0,1,-1
"Psaltriparus minimus","Bushtit","Species","Exact Match","Psaltriparus minimus","Wyoming","Wyoming",1,1,0
"Pseudacris crucifer","Spring Peeper","Species","Exact Match","Pseudacris crucifer,Pseudacris crucifer crucifer","District of Columbia,Kansas,Ohio","District of Columbia,Kansas",3,2,1
"Pseudacris streckeri","Strecker''s Chorus Frog","Species","Exact Match","Pseudacris streckeri","Arkansas,Kansas,Louisiana","Arkansas,Kansas,Louisiana,Texas",3,4,-1
"Pseudiron centralis","White sand-river mayfly","Species","Exact Match","Pseudiron centralis","Florida,Indiana,Virginia,Wisconsin","Colorado,Florida,Illinois,Virginia",4,4,0
"Pseudocloeon apache","Small Minnow Mayfly","Species","Followed Accepted TSN","Labiobaetis apache","","Colorado",0,1,-1
"Pseudoroegneria spicata","Bluebunch Wheatgrass","Species","Followed Accepted TSN","Elymus spicatus,Pseudoroegneria spicata","Nebraska","Nebraska",1,1,0
"Pteronarcys californica","Giant stonefly","Species","Exact Match","Pteronarcys californica","","Colorado",0,1,-1
"Pterospora andromedea","pinedrops","Species","Exact Match","Pterospora andromedea","Nebraska,Vermont","Nebraska,Vermont",2,2,0
"Ptilagrostis porteri","Porter feathergrass","Species","Exact Match","Ptilagrostis porteri","","Colorado",0,1,-1
"Ptychobranchus occidentalis","Ouachita Kidneyshell","Species","Exact Match","Ptychobranchus occidentalis","Arkansas,Kansas,Louisiana,Missouri,Oklahoma","Arkansas,Kansas,Louisiana,Missouri,Oklahoma",5,5,0
"Ptychocheilus lucius","Colorado Pikeminnow","Species","Exact Match","Ptychocheilus lucius","Arizona,Colorado,New Mexico,Utah","Arizona,California,Colorado,New Mexico,Utah",4,5,-1
"Puccinellia parishii","Parish’s alkali grass","Species","Exact Match","Puccinellia parishii","","California,Colorado",0,2,-2
"Puma concolor","Mountain Lion","Species","Followed Accepted TSN","Felis concolor,Puma concolor","Alabama,Kansas,Michigan,Minnesota,Missouri,Nebraska,Oklahoma,Texas,Vermont","Alabama,Kansas,Minnesota,Nebraska,Oklahoma,Texas",9,6,3
"Pycnanthemum pilosum","Hairy Mountain-mint","Species","Followed Accepted TSN","Pycnanthemum verticillatum var. pilosum","Nebraska","Nebraska",1,1,0
"Pycnanthemum tenuifolium","Narrow-leaf Mountain-mint","Species","Exact Match","Pycnanthemum tenuifolium","Nebraska","Nebraska",1,1,0
"Pyganodon grandis","Giant Floater","Species","Exact Match","Pyganodon grandis","Kansas,Vermont,Wyoming","Vermont,West Virginia,Wyoming",3,3,0
"Pyrgulopsis robusta","Jackson Lake Springsnail","Species","Exact Match","Pyrgulopsis robusta","Idaho,Wyoming","Wyoming",2,1,1
"Pyrgus xanthus","Xanthus skipper","Species","Exact Match","Pyrgus xanthus","Colorado,New Mexico","Colorado",2,1,1
"Pyrola chlorantha","Green-flower Wintergreen","Species","Exact Match","Pyrola chlorantha","","Nebraska,West Virginia",0,2,-2
"Pyrola elliptica","Wax-flower Shinleaf","Species","Exact Match","Pyrola elliptica","","Nebraska",0,1,-1
"Pyrrhopappus carolinianus","Carolina False Dandelion","Species","Exact Match","Pyrrhopappus carolinianus","Nebraska","Nebraska",1,1,0
"Pyrrhopappus grandiflorus","Tuberous False Dandelion","Species","Exact Match","Pyrrhopappus grandiflorus","","Nebraska",0,1,-1
"Quadrula quadrula","Mapleleaf","Species","Exact Match","Quadrula quadrula","Kansas,New York,North Dakota,Pennsylvania,South Dakota,West Virginia,Wisconsin","Iowa,North Dakota,Pennsylvania,South Dakota,West Virginia,Wisconsin",7,6,1
"Quercus alba","White Oak","Species","Exact Match","Quercus alba","Nebraska","Nebraska",1,1,0
"Quercus marilandica var. marilandica","Blackjack Oak","Variety","Exact Match","Quercus marilandica var. marilandica","","Nebraska",0,1,-1
"Rallus elegans","King Rail","Species","Exact Match","Rallus elegans,Rallus elegans 15,Rallus elegans 16","Arkansas,Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Wisconsin",29,30,-1
"Rallus limicola","Virginia Rail","Species","Exact Match","Rallus limicola","Connecticut,District of Columbia,Indiana,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Pennsylvania,Texas,Virginia,West Virginia,Wyoming","Arizona,Connecticut,Delaware,District of Columbia,Indiana,Kentucky,Minnesota,Missouri,New Jersey,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Virginia,West Virginia,Wyoming",16,18,-2
"Rana luteiventris","Columbia Spotted Frog","Species","Exact Match","Rana luteiventris,Rana luteiventris pop. 3,Rana luteiventris pop. 3 10,Rana luteiventris pop. 3 11","Alaska,Idaho,Nevada,Oregon,Utah,Washington,Wyoming","Idaho,Nevada,Oregon,Utah,Washington,Wyoming",7,6,1
"Ranunculus fascicularis","Early Buttercup","Species","Exact Match","Ranunculus fascicularis","Nebraska","Nebraska,South Carolina",1,2,-1
"Ranunculus glaberrimus var. ellipticus","Sagebrush Buttercup","Variety","Exact Match","Ranunculus glaberrimus var. ellipticus","Nebraska","Nebraska",1,1,0
"Ranunculus hispidus var. caricetorum","Bristly Buttercup","Variety","Exact Match","Ranunculus caricetorum,Ranunculus hispidus var. caricetorum","Nebraska","Nebraska,West Virginia",1,2,-1
"Ranunculus inamoenus var. inamoenus","Graceful Buttercup","Variety","Exact Match","Ranunculus inamoenus var. inamoenus","","Nebraska",0,1,-1
"Ranunculus recurvatus var. recurvatus","Hooked Buttercup","Variety","Exact Match","Ranunculus recurvatus var. recurvatus","","Nebraska",0,1,-1
"Ranunculus rhomboideus","Prairie Buttercup","Species","Exact Match","Ranunculus rhomboideus","Nebraska","Nebraska",1,1,0
"Ranunculus sceleratus var. multifidus","Cursed Crowfoot","Variety","Exact Match","Ranunculus sceleratus var. multifidus","","Nebraska",0,1,-1
"Ratibida tagetes","Short-ray Prairie-coneflower","Species","Exact Match","Ratibida tagetes","Nebraska","Nebraska",1,1,0
"Recurvirostra americana","American Avocet","Species","Exact Match","Recurvirostra americana","Arizona,Arkansas,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,Nevada,North Dakota,South Carolina,Texas,Utah","Delaware,Florida,Kansas,Nevada,North Carolina,North Dakota,South Carolina",13,7,6
"Regina grahamii","Graham''s Crayfish Snake","Species","Exact Match","Regina grahamii","Arkansas,Nebraska","Arkansas,Illinois,Iowa,Missouri,Nebraska",2,5,-3
"Reithrodontomys fulvescens","Fulvous Harvest Mouse","Species","Exact Match","Reithrodontomys fulvescens","Kansas","Arizona,Kansas",1,2,-1
"Reithrodontomys montanus","Plains Harvest Mouse","Species","Exact Match","Reithrodontomys montanus","Arkansas,Missouri,Wyoming","Arizona,Arkansas,Wyoming",3,3,0
"Reithrodontomys montanus griseus","Plains Harvest Mouse","Unknown Taxonomic Rank","Legacy Match","Reithrodontomys montanus griseus","Nebraska","Nebraska",1,1,0
"Rhinichthys atratulus","Blacknose Dace","Species","Exact Match","Rhinichthys atratulus,Rhyinichthys atratulus","Connecticut,Illinois,Massachusetts,Mississippi,Nebraska,Rhode Island,South Carolina","Connecticut,Massachusetts,Mississippi,Nebraska,Rhode Island",7,5,2
"Rhinichthys obtusus","Western Blacknose Dace","Species","Exact Match","Rhinichthys obtusus,Rhnichthys obtusus","Kansas","Kansas,South Carolina",1,2,-1
"Rhinichthys osculus thermalis","Kendall Warm Springs Dace","Subspecies","Exact Match","Rhinichthys osculus thermalis","Wyoming","Wyoming",1,1,0
"Rhinocheilus lecontei","Long-nosed Snake","Species","Exact Match","Rhinocheilus lecontei","Colorado,Idaho,Kansas,Utah","Colorado,Kansas",4,2,2
"Rhithrogena flavianula","Flathead Mayfly","Species","Exact Match","Rhithrogena flavianula","","Colorado",0,1,-1
"Rhus copallinum var. copallinum","Shining Sumac","Variety","Followed Accepted TSN","Rhus copallina var. latifolia,Rhus copallinum var. latifolia","Nebraska","Nebraska",1,1,0
"Rhynchophanes mccownii","McCown''s Longspur","Species","Followed Accepted TSN","Calcarius mccownii,Rhynchophanes mccownii","Arizona,Colorado,Kansas,Montana,Nebraska,North Dakota,Oklahoma,Texas,Wyoming","Arizona,Colorado,Kansas,Nebraska,New Mexico,North Dakota,Oklahoma,Texas,Wyoming",9,9,0
"Rhyssemus neglectus","A Scarab Beetle","Species","Exact Match","Rhyssemus neglectus","","Nebraska",0,1,-1
"Ribes hirtellum","Hairy-stem Gooseberry","Species","Exact Match","Ribes hirtellum","Nebraska","Nebraska,West Virginia",1,2,-1
"Rorippa tenerrima","Slender Yellow Cress","Species","Exact Match","Rorippa tenerrima","","Nebraska",0,1,-1
"Rubus allegheniensis","Rose Highbush Blackberry","Species","Followed Accepted TSN","Rubus rosa","","Nebraska",0,1,-1
"Rubus flagellaris","Northern Dewberry","Species","Exact Match","Rubus enslenii,Rubus flagellaris","Nebraska","Nebraska",1,1,0
"Rubus pensilvanicus","Blackberry","Species","Followed Accepted TSN","Rubus laudatus,Rubus prestonensis","","Nebraska,West Virginia",0,2,-2
"Rubus pubescens","Dwarf Swamp Raspberry","Species","Exact Match","Rubus pubescens","","Nebraska",0,1,-1
"Rubus sachalinensis var. sachalinensis","Red Raspberry","Variety","Followed Accepted TSN","Rubus strigosus","","Nebraska",0,1,-1
"Rudbeckia laciniata var. ampla","Golden-glow","Variety","Exact Match","Rudbeckia laciniata var. ampla","","Nebraska",0,1,-1
"Ruellia strepens","Limestone Petunia","Species","Exact Match","Ruellia strepens","Nebraska","Nebraska,South Carolina",1,2,-1
"Rumex verticillatus","Water Dock","Species","Exact Match","Rumex verticillatus","Nebraska","Massachusetts,Nebraska",1,2,-1
"Sagenosoma elsa","A sphinx moth","Species","Exact Match","Sagenosoma elsa","Colorado","Colorado",1,1,0
"Sagittaria graminea ssp. graminea","Grass-leaf Arrowhead","Subspecies","Followed Accepted TSN","Sagittaria graminea var. graminea","","Nebraska",0,1,-1
"Sagittaria longiloba","Long-Barb Arrowhead","Species","Exact Match","Sagittaria longiloba","Nebraska","Nebraska",1,1,0
"Salicornia rubra","Saltwort","Species","Exact Match","Salicornia rubra,Salicornia rubra 17,Salicornia rubra 18","Nebraska","Nebraska",1,1,0
"Salix arizonica","Arizona willow","Species","Exact Match","Salix arizonica","","Colorado",0,1,-1
"Salix bebbiana","Long-beak Willow","Species","Exact Match","Salix bebbiana","","Nebraska",0,1,-1
"Salvelinus confluentus","Bull Trout - Hood SMU","Species","Exact Match","Salvelinus confluentus,Salvelinus confluentus 1,Salvelinus confluentus 10,Salvelinus confluentus 11,Salvelinus confluentus 12,Salvelinus confluentus 2,Salvelinus confluentus 3,Salvelinus confluentus 38,Salvelinus confluentus 39,Salvelinus confluentus 4,Salvelinus confluentus 5,Salvelinus confluentus 6,Salvelinus confluentus 7,Salvelinus confluentus 8,Salvelinus confluentus 9,Salvelinus confluentus pop. 2,Salvelinus confluentus pop. 3,Salvelinus confluentus pop. 4","Idaho,Montana,Nevada,Oregon,Washington","California,Montana,Nevada,Oregon,Washington",5,5,0
"Salvelinus namaycush","Lake Trout","Species","Exact Match","Salvelinus namaycush","Illinois,Maine,Montana,New Hampshire,Ohio,Vermont","Alaska,Illinois,Maine,Montana,New Hampshire,New York,Vermont",6,7,-1
"Sander canadensis","Sauger","Species","Exact Match","Sander canadense,Sander canadensis,Stizostedion canadense","Illinois,Michigan,Mississippi,Montana,New York,Vermont,Virginia,Wyoming","Michigan,Mississippi,Montana,New York,Vermont,Virginia,Wyoming",8,7,1
"Satyrium acadica","Acadian Hairstreak","Species","Fuzzy Match","Satyrium acadica,Satyrium acadicum","Iowa,Pennsylvania,Rhode Island","Iowa,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island",3,6,-3
"Satyrium calanus","Banded Hairstreak","Species","Exact Match","Satyrium calanus","","Nebraska",0,1,-1
"Satyrium caryaevorus","Hickory Hairstreak","Species","Followed Accepted TSN","Satyrium caryaevorum,Satyrium caryaevorus","Iowa,Maryland,Rhode Island,West Virginia,Wisconsin","Iowa,Maryland,Nebraska,New Jersey,Ohio,Rhode Island,West Virginia",5,7,-2
"Satyrium liparops","Striped Hairstreak","Species","Exact Match","Satyrium liparops","Delaware,Iowa","Iowa,Nebraska",2,2,0
"Satyrium titus","Coral Hairstreak","Species","Exact Match","Satyrium titus","Maine,Pennsylvania","Florida,Maine,Nebraska,New Jersey,Pennsylvania",2,5,-3
"Satyrodes eurydice fumosa","Smokey Eyed Brown","Unknown Taxonomic Rank","Legacy Match","Satyrodes eurydice fumosa","Nebraska,Wisconsin","Nebraska",2,1,1
"Saussurea weberi","Weber saussurea","Species","Exact Match","Saussurea weberi","","Colorado",0,1,-1
"Scaphiopus couchii","Couch''s spadefoot","Species","Exact Match","Scaphiopus couchii","California,Colorado","California,Colorado",2,2,0
"Scaphirhynchus albus","Pallid Sturgeon","Species","Exact Match","Scaphirhynchus albus","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee",13,13,0
"Scaphirhynchus platorynchus","shovelnose sturgeon","Species","Fuzzy Match","Scaphirhynchus platorhynchus,Scaphirhynchus platorynchus","Alabama,Illinois,Iowa,Kansas,Minnesota,Ohio,Oklahoma,Texas,Wyoming","Alabama,Iowa,Kansas,Louisiana,Mississippi,Missouri,Ohio,Oklahoma,South Dakota,Texas,West Virginia,Wyoming",9,12,-3
"Sceloporus consobrinus","Prairie Lizard","Species","Exact Match","Sceloporus consobrinus","","Wyoming",0,1,-1
"Sceloporus graciosus","Sagebrush lizard","Species","Exact Match","Sceloporus graciosus","Montana,Nebraska,North Dakota,Washington","Nebraska,North Dakota,South Dakota,Washington",4,4,0
"Sceloporus magister","Desert spiny lizard","Species","Exact Match","Sceloporus magister","","Colorado",0,1,-1
"Schoenoplectus hallii","Hall''s Bulrush","Species","Exact Match","Schoenoplectus hallii","Georgia,Missouri,Nebraska","Missouri,Nebraska,Texas",3,3,0
"Schoenoplectus saximontanus","Rocky Mountain Bulrush","Species","Exact Match","Schoenoplectus saximontanus","Missouri,Nebraska","Missouri,Nebraska",2,2,0
"Scirpus cyperinus","Wool-grass","Species","Exact Match","Scirpus cyperinus","Nebraska","Nebraska",1,1,0
"Scirpus georgianus","Georgia Bulrush","Species","Exact Match","Scirpus georgianus","","Nebraska,Vermont",0,2,-2
"Scirpus microcarpus","Red-Tinge Bulrush","Species","Exact Match","Scirpus microcarpus","Nebraska","Nebraska,West Virginia",1,2,-1
"Sciurus aberti","Abert's Squirrel","Species","Exact Match","Sciurus aberti","New Mexico,Utah,Wyoming","Colorado",3,1,2
"Sciurus carolinensis","Eastern Gray Squirrel","Species","Exact Match","Sciurus carolinensis","Nebraska,Ohio","Nebraska",2,1,1
"Scleria triglomerata","Tall Nut-sedge","Species","Exact Match","Scleria triglomerata","Nebraska","Massachusetts,Nebraska,Vermont,West Virginia",1,4,-3
"Sclerocactus glaucus","Colorado hookless cactus","Species","Exact Match","Sclerocactus glaucus","","Colorado",0,1,-1
"Sclerocactus mesae-verdae","Mesa Verde hookless cactus","Species","Exact Match","Sclerocactus mesae-verdae","","Colorado",0,1,-1
"Scolochloa festucacea","River Grass","Species","Exact Match","Scolochloa festucacea","Nebraska","Nebraska",1,1,0
