"scientificname","Family","Common name","acceptedauthorityapi","scientificnames_submitted","statelist_2005","statelist_2015"
"Pteronotropis euryzonus","Cyprinidae","broadstripe shiner","http://services.itis.gov/?q=tsn:201939","Pteronotropis euryzonus","Alabama,Georgia","Alabama,Georgia"
"Pteronotropis signipinnis","Cyprinidae","flagfin shiner","http://services.itis.gov/?q=tsn:201942","Pteronotropis signipinnis","Louisiana","Louisiana"
"Ptychocheilus umpquae","Cyprinidae","Umpqua pikeminnow",NA,NA,NA,NA
"Pungitius pungitius","Gasterosteidae","ninespine stickleback","http://services.itis.gov/?q=tsn:166387","Pungitius pungitius,Pungitius pungitius occidentalis,Pungitius pungitius occidentalis 3,Pungitius pungitius occidentalis 4","Alaska,New York","Alaska,Illinois,New York"
"Rhinichthys falcatus","Cyprinidae","leopard dace","http://services.itis.gov/?q=tsn:163386","Rhinichthys falcatus","Idaho,Washington","Washington"
"Salvelinus confluentus","Salmonidae","Bull trout","http://services.itis.gov/?q=tsn:162004","Salvelinus confluentus,Salvelinus confluentus 1,Salvelinus confluentus 10,Salvelinus confluentus 11,Salvelinus confluentus 12,Salvelinus confluentus 2,Salvelinus confluentus 3,Salvelinus confluentus 38,Salvelinus confluentus 39,Salvelinus confluentus 4,Salvelinus confluentus 5,Salvelinus confluentus 6,Salvelinus confluentus 7,Salvelinus confluentus 8,Salvelinus confluentus 9,Salvelinus confluentus pop. 2,Salvelinus confluentus pop. 3,Salvelinus confluentus pop. 4","Idaho,Montana,Nevada,Oregon,Washington","California,Montana,Nevada,Oregon,Washington"
"Scaphirhynchus albus","Acipenseridae","Pallid sturgeon","http://services.itis.gov/?q=tsn:161081","Scaphirhynchus albus","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Montana,Nebraska,North Dakota,South Dakota,Tennessee"
"Semotilus lumbee","Cyprinidae","sandhills chub","http://services.itis.gov/?q=tsn:163377","Semotilus lumbee","North Carolina,South Carolina","North Carolina,South Carolina"
"Thoburnia rhothoeca","Catostomidae","Torrent sucker","http://services.itis.gov/?q=tsn:553276","Thoburnia rhothoeca","West Virginia","West Virginia"
"Umbra limi","Umbridae","central mudminnow","http://services.itis.gov/?q=tsn:162153","Umbra limi","Illinois,Iowa,Kentucky,Missouri,South Dakota,West Virginia","Arkansas,Illinois,Iowa,Kentucky,Missouri,Ohio,Pennsylvania,South Dakota,West Virginia"
"Umbra pygmaea","Umbridae","eastern mudminnow","http://services.itis.gov/?q=tsn:162148","Umbra pygmaea","Florida","Delaware,Florida,New Jersey,Pennsylvania"
NA,NA,NA,NA,NA,NA,NA
