"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Cyclonaias tuberculata","Purple Wartyback","Exact Match","Cyclonaias tuberculata","Arkansas,Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,North Carolina,Ohio,West Virginia,Wisconsin","Illinois,Iowa,Kansas,Michigan,Minnesota,Mississippi,North Carolina,Ohio,Pennsylvania,West Virginia,Wisconsin",NA,"Animalia","Mollusca","Bivalvia"
"Cygnus buccinator","Trumpeter Swan","Exact Match","Cygnus buccinator","Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Montana,Nebraska,Oklahoma,South Dakota,Washington,Wisconsin,Wyoming","Alaska,Arkansas,Idaho,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Nebraska,Ohio,Oklahoma,Oregon,South Dakota,Wyoming","Status Undefined","Animalia","Chordata","Aves"
"Cynomys gunnisoni","Gunnison's Prairie Dog","Exact Match","Cynomys gunnisoni","Arizona,Colorado,New Mexico,Utah","Arizona,Colorado,New Mexico,Utah","Resolved Taxon","Animalia","Chordata","Mammalia"
"Cynomys leucurus","White-tailed Prairie Dog","Exact Match","Cynomys leucurus","Colorado,Montana,Utah,Wyoming","Colorado,Montana,Utah","Resolved Taxon","Animalia","Chordata","Mammalia"
"Cynomys ludovicianus","Black-tailed Prairie Dog","Exact Match","Cynomys ludovicianus","Arizona,Colorado,Kansas,Montana,New Mexico,North Dakota,Oklahoma,Texas,Wyoming","Arizona,Colorado,Kansas,New Mexico,North Dakota,Oklahoma,Texas","Resolved Taxon","Animalia","Chordata","Mammalia"
"Cyperus lupulinus ssp. macilentus","Great Plains Flatsedge","Exact Match","Cyperus lupulinus ssp. macilentus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cyperus odoratus","Engelmann's Flatsedge","Fuzzy Match","Cyperus engelmannii,Cyperus odoratus","Hawaii,Nebraska","Hawaii,Massachusetts,Nebraska","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Cyprinella spiloptera","Spotfin Shiner","Fuzzy Match","Cyprinella spiloptera,Cyprinella spilopterus","Arkansas,Kansas,Mississippi,Oklahoma","Arkansas,Kansas,Mississippi,New Jersey,Oklahoma",NA,"Animalia","Chordata","Teleostei"
"Cypripedium candidum","Small White Lady-slipper","Exact Match","Cypripedium candidum,Cypripedium candidum 5,Cypripedium candidum 6","Missouri,Nebraska","Missouri,Nebraska","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Cypripedium parviflorum","Yellow Lady's-slipper","Exact Match","Cypripedium parviflorum","Nebraska","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Cyprogenia aberti","Western Fanshell","Exact Match","Cyprogenia aberti","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma","Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma","Under Review in the Candidate or Petition Process","Animalia","Mollusca","Bivalvia"
"Cypseloides niger","Black Swift","Exact Match","Cypseloides niger","Alaska,California,Colorado,Idaho,Montana,New Mexico,Oregon,Puerto Rico,Utah","California,Colorado,Idaho,Montana,New Mexico,Utah","Species of Concern","Animalia","Chordata","Aves"
"Cystopteris bulbifera","Bulblet Bladder Fern","Exact Match","Cystopteris bulbifera","Nebraska","Nebraska,South Carolina",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Dactylorhiza viridis","Long-bracted Green Orchid","Fuzzy Match","Coeloglossum viride,Coeloglossum viride var. virescens,Dactylorhiza viridis","Missouri,Nebraska","Massachusetts,Nebraska,Tennessee,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dalea cylindriceps","Large-spike Prairie-clover","Exact Match","Dalea cylindriceps","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dalea multiflora","Round-headed Prairie Clover","Exact Match","Dalea multiflora","Missouri,Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Danaus plexippus","Monarch Butterfly","Fuzzy Match","Danaus plexippus,Danaus plexippus (overwintering sites),Danaus P. Plexippus","California,District of Columbia,Kansas","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,Washington",NA,"Animalia","Arthropoda","Insecta"
"Danthonia spicata","Poverty Oatgrass","Exact Match","Danthonia spicata","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dasistoma macrophylla","Mullein Foxglove","Exact Match","Dasistoma macrophylla","Nebraska","Louisiana,Nebraska,South Carolina,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Delphinium alpestre","Colorado larkspur","Fuzzy Match","Delphinium ramosum var. alpestre","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Delphinium geyeri","Geyer's Larkspur","Exact Match","Delphinium geyeri","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Delphinium nuttallianum","Blue Larkspur","Exact Match","Delphinium nuttallianum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Delphinium robustum","Wahatoya Creek larkspur","Exact Match","Delphinium robustum","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Delphinium tricorne","Dwarf Larkrspur","Exact Match","Delphinium tricorne","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Descurainia kenheilii","Heil’s tansy mustard","Exact Match","Descurainia kenheilii","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Descurainia pinnata ssp. halictorum","Pinnate Tansy Mustard","Fuzzy Match","Descurainia pinnata var. osmiarum","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Desmodium cuspidatum var. longifolium","Long-leaf Tick-clover","Exact Match","Desmodium cuspidatum var. longifolium","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Desmodium sessilifolium","Sessile-Leaf Tick-Clover","Exact Match","Desmodium sessilifolium","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dicamptodon aterrimus","Idaho Giant Salamander","Exact Match","Dicamptodon aterrimus","Idaho,Montana","Montana",NA,"Animalia","Chordata","Amphibia"
"Dichanthelium depauperatum","Starved Spring-panicum","Exact Match","Dichanthelium depauperatum,Panicum depauperatum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dichanthelium latifolium","Broad-leaf Spring-Panicum","Exact Match","Dichanthelium latifolium","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dichanthelium linearifolium","Slender-leaf Spring-panicum","Exact Match","Dichanthelium linearifolium","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dieteria canescens var. glabra","Hoary-aster","Exact Match","Dieteria canescens var. glabra","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Diodella teres","Rough Buttonweed","Fuzzy Match","Diodia teres var. teres","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dioscorea villosa","Wild Yam","Exact Match","Dioscorea villosa","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Diospyros virginiana","Persimmon","Exact Match","Diospyros virginiana","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Doellingeria umbellata var. pubens","Flat-Top Aster","Exact Match","Doellingeria umbellata var. pubens","Missouri,Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dolichonyx oryzivorus","Bobolink","Fuzzy Match","Dolichonyx oryzivorus,Dolichonyx orzivorus","Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Montana,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,Utah,Vermont,West Virginia,Wisconsin,Wyoming","Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",NA,"Animalia","Chordata","Aves"
"Draba brachycarpa","Short-pod Draba","Exact Match","Draba brachycarpa","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Draba cuneifolia var. cuneifolia","Wedge-leaf Draba","Exact Match","Draba cuneifolia var. cuneifolia","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Draba exunguiculata","Clawless draba","Exact Match","Draba exunguiculata","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Draba graminea","San Juan whitlow-grass","Exact Match","Draba graminea","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Draba grayana","Gray's Peak whitlow-grass","Exact Match","Draba grayana","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Draba malpighiacea","Whitlow-grass","Exact Match","Draba malpighiacea","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Draba smithii","Smith whitlow-grass","Exact Match","Draba smithii","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Draba weberi","Weber’s draba","Exact Match","Draba weberi","","Colorado","Under Review in the Candidate or Petition Process","Plantae","Tracheophyta","Magnoliopsida"
"Dracocephalum parviflorum","American Dragon's-head","Exact Match","Dracocephalum parviflorum","Vermont","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Dromogomphus spoliatus","Flag-tailed Spinyleg","Exact Match","Dromogomphus spoliatus","West Virginia","Colorado,West Virginia",NA,"Animalia","Arthropoda","Insecta"
"Dryocopus pileatus","Pileated Woodpecker","Exact Match","Dryocopus pileatus","Connecticut,Kansas,Maryland,Montana,Nebraska,Ohio,Oregon,Rhode Island,Texas,Washington","Nebraska,Oregon,Rhode Island,South Carolina,Texas","Species of Concern","Animalia","Chordata","Aves"
"Dryopteris carthusiana","Spinulose Shield Fern","Exact Match","Dryopteris carthusiana","Missouri,Nebraska","Missouri,Nebraska,South Carolina,Tennessee",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Dryopteris cristata","Crested shield fern","Exact Match","Dryopteris cristata","Missouri","Missouri,Nebraska,Tennessee",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Echinacea pallida","Pale Purple Coneflower","Exact Match","Echinacea pallida","Nebraska","Nebraska,Tennessee",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Echinocereus viridiflorus","Hedgehog Cactus","Exact Match","Echinocereus viridiflorus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Egretta thula","Snowy Egret","Exact Match","Egetta thula,Egretta thula","Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Kansas,Maine,Maryland,Massachusetts,Mississippi,Missouri,Nevada,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Wisconsin,Wyoming","Arizona,Connecticut,Delaware,Florida,Illinois,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Rhode Island,South Carolina,Texas,Virginia,Wyoming",NA,"Animalia","Chordata","Aves"
"Elatine brachysperma","Short-seed Waterwort","Exact Match","Elatine brachysperma","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eleocharis atropurpurea","Purple Spikerush","Exact Match","Eleocharis atropurpurea","Missouri,Nebraska","Missouri,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eleocharis coloradoensis","Dwarf Spikerush","Legacy Match","Eleocharis coloradoensis","Nebraska","Nebraska",NA,NA,NA,NA
"Eleocharis geniculata","Capitate Spikerush","Exact Match","Eleocharis geniculata","Nebraska","Louisiana,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eleocharis quinqueflora","Few-flowered Spikerush","Exact Match","Eleocharis pauciflora,Eleocharis quinqueflora","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eleocharis rostellata","Beaked Spikerush","Exact Match","Eleocharis rostellata","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eleocharis wolfii","Wolf's Spikerush","Exact Match","Eleocharis wolfii","Georgia,Nebraska","Georgia,Louisiana,Missouri,Nebraska,Tennessee","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
"Ellipsaria lineolata","Butterfly","Exact Match","Ellipsaria lineolata","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin","Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin",NA,"Animalia","Mollusca","Bivalvia"
"Ellipsoptera lepida","Ghost Tiger Beetle","Fuzzy Match","Cicindelalepida,Cicindela lepida,Ellipsoptera lepida","Arkansas,Connecticut,Delaware,Maryland,Michigan,Minnesota,Pennsylvania,South Dakota,Virginia,Wisconsin","Arkansas,Connecticut,Delaware,Maryland,Minnesota,Nebraska,New Jersey,Oklahoma,Pennsylvania,South Dakota,Virginia,Wisconsin",NA,"Animalia","Arthropoda","Insecta"
"Ellipsoptera nevadica lincolniana","Salt Creek Tiger Beetle","Fuzzy Match","Cicindela nevadica lincolniana","Nebraska","Nebraska","Endangered","Animalia","Arthropoda","Insecta"
"Ellipsoptera nevadica makosika","Indian Creek tiger beetle","Fuzzy Match","Cicindela nevadica makosika","","South Dakota",NA,"Animalia","Arthropoda","Insecta"
"Elliptio dilatata","Spike","Exact Match","Elliptio dilatata","Alabama,Georgia,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina","Alabama,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Elodea bifoliata","Two-leaf Waterweed","Exact Match","Elodea bifoliata","Nebraska","Nebraska","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Elymus albicans","Montana Wild-rye","Exact Match","Elymus albicans","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Elymus trachycaulus ssp. andinus","Awned Slender Wheatgrass","Fuzzy Match","Elymus trachycaulus var. andinus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Elymus virginicus var. intermedius","Virginia Wild-rye","Exact Match","Elymus virginicus var. intermedius","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Elymus X pseudorepens","Rydberg's Wild-rye","Fuzzy Match","Elymus vulpinus","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Empidonax occidentalis","Cordilleran Flycatcher","Exact Match","Empidonax occidentalis","Colorado,Nebraska","Arizona,Nebraska",NA,"Animalia","Chordata","Aves"
"Empidonax traillii","Willow Flycatcher","Exact Match","Empidonax trailii,Empidonax trailli,Empidonax traillii","Arkansas,California,Connecticut,Delaware,Illinois,Iowa,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,Virginia,Wisconsin,Wyoming","Arkansas,California,Connecticut,Delaware,District of Columbia,Illinois,Kentucky,Maryland,New Jersey,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Wyoming","Species of Concern","Animalia","Chordata","Aves"
"Empidonax traillii extimus","Southwestern Willow Flycatcher","Exact Match","Empidonax trailli extimus,Empidonax traillii extimus","Arizona,California,Colorado,Nevada,New Mexico,Utah","Arizona,California,Colorado,Nevada,New Mexico,Utah","Endangered","Animalia","Chordata","Aves"
"Empidonax virescens","Acadian Flycatcher","Exact Match","Empidonax virescens","Connecticut,District of Columbia,Illinois,Iowa,Maryland,Michigan,Minnesota,Nebraska,New Jersey,Ohio,Rhode Island,South Carolina,Tennessee,Texas,West Virginia,Wisconsin","Delaware,Illinois,Iowa,Maryland,Minnesota,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Rhode Island,South Carolina,Wisconsin",NA,"Animalia","Chordata","Aves"
"Emydoidea blandingii","Blanding's Turtle","Exact Match","Emydoidea blandingii,Emys blandingii","Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,South Dakota,Wisconsin","Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Enallagma vesperum","Vesper Bluet","Exact Match","Enallagma vesperum","Delaware,Iowa,Maryland,West Virginia","Colorado,Delaware,West Virginia",NA,"Animalia","Arthropoda","Insecta"
"Encoptolophus subgracilis","A Grasshopper","Exact Match","Encoptolophus subgracilis","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Ephemerella apopsis","Spiny Crawler Mayfly","Exact Match","Ephemerella apopsis","","Colorado","Resolved Taxon","Animalia","Arthropoda","Insecta"
"Epioblasma triquetra","Snuffbox","Exact Match","Epioblasma triquetra","Alabama,Arkansas,Illinois,Indiana,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,New York,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin","Endangered","Animalia","Mollusca","Bivalvia"
"Epitheca petechialis","Stripe-winged baskettail","Fuzzy Match","Epitheca petechialis,Tetragoneuria petechialis","Colorado","Colorado,South Dakota",NA,"Animalia","Arthropoda","Insecta"
"Eptesicus fuscus","Big Brown Bat","Fuzzy Match","Eptesicus fuscus,Eptisicus fuscus","Alaska,Florida,Louisiana,Ohio,Puerto Rico,Vermont,Wyoming","Connecticut,Delaware,District of Columbia,Florida,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Texas,Vermont,Wisconsin,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Equisetum fluviatile","Water Horsetail","Exact Match","Equisetum fluviatile","Nebraska","Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Polypodiopsida"
"Eragrostis capillaris","Lace Grass","Exact Match","Eragrostis capillaris","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eragrostis frankii","Sandbar Lovegrass","Exact Match","Eragrostis frankii","","Massachusetts,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eragrostis pilosa var. perplexa","Playa Lovegrass","Exact Match","Eragrostis pilosa var. perplexa","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eragrostis reptans","Creeping Lovegrass","Exact Match","Eragrostis reptans","Missouri","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Eragrostis secundiflora","Red Lovegrass","Fuzzy Match","Eragrostis secundiflora var. capitata","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Erigeron caespitosus","Tufted Fleabane","Exact Match","Erigeron caespitosus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Erigeron divergens","Spreading Fleabane","Exact Match","Erigeron divergens","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Erigeron kachinensis","Kachina daisy","Exact Match","Erigeron kachinensis","","Colorado","Species of Concern","Plantae","Tracheophyta","Magnoliopsida"
