"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Arizona,Arkansas,Iowa,Kansas,Louisiana,Minnesota,Missouri,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas","Arizona,Kansas,Louisiana,Minnesota,Montana,New Mexico,North Dakota,Oklahoma,South Dakota,Texas","Resolved Taxon","B0GD","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0GD","Apparently Secure (breeding), Apparently Secure (non-breeding)","1997-01-05","Anthus spragueii","https://services.itis.gov/?q=tsn:178499","Sprague's Pipit","Birds","Species","Exact Match","Anthus spragueii"
"Arizona,California,New Mexico","California,New Mexico,Texas","Species of Concern","B0GV","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0GV","Secure (breeding)","1997-03-19","Micrathene whitneyi","https://services.itis.gov/?q=tsn:177912","Elf Owl","Birds","Species","Exact Match","Micrathene whitneyi"
"Arizona,Oregon","Alaska,Arizona",NA,NA,NA,"Unranked","Unknown","Accipiter gentilis atricapillus","https://services.itis.gov/?q=tsn:175301","Northern Goshawk","Birds","Subspecies","Fuzzy Match","Accipiter gentilis atricapillus, Accipiter gentilus atricapillus"
"Arizona,Nevada","Nevada",NA,NA,NA,NA,NA,"Ixobrychus exilis exilis","https://services.itis.gov/?q=tsn:174847","Western Least Bittern","Birds","Subspecies","Followed Accepted TSN","Ixobrychus exilis hesperis"
"Alaska,Arizona,California,Colorado,Delaware,Idaho,Iowa,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Tennessee,Utah,Vermont,West Virginia,Wisconsin","Alaska,Arizona,California,Colorado,Connecticut,Iowa,Maine,Maryland,Michigan,Minnesota,Nevada,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin","Species of Concern","B0AN","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0AN","Apparently Secure (breeding)","2001-03-28","Contopus cooperi","https://services.itis.gov/?q=tsn:554221","Olive-sided Flycatcher","Birds","Species","Exact Match","Contopus borealis, Contopus cooperi"
"Alaska,Arizona","Alaska",NA,NA,NA,"Secure","1997-01-05","Megascops kennicottii","https://services.itis.gov/?q=tsn:686659","Tecolote occidental","Birds","Species","Exact Match","Megascops kennicottii"
"Idaho,Nevada,Oregon,Washington","California,Idaho,Nevada,Oregon,Washington","Species of Concern","B0HU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0HU","Apparently Secure","1997-03-19","Picoides albolarvatus","https://services.itis.gov/?q=tsn:178256","White-headed Woodpecker","Birds","Species","Exact Match","Picoides albolarvatus"
"Alabama,Arizona,Colorado,Delaware,Idaho,Kansas,Maine,Maryland,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Tennessee,Texas,Utah,Virginia,Washington,West Virginia","Alaska,California,Colorado,Kansas,Maine,Maryland,Montana,Nebraska,New Hampshire,New Mexico,New York,North Dakota,Pennsylvania,Tennessee,Texas,Washington","Species of Concern","B0DV","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0DV","Secure (breeding), Secure (non-breeding)","1997-01-05","Aquila chrysaetos","https://services.itis.gov/?q=tsn:175407","Golden Eagle","Birds","Species","Exact Match","Aquila chrysaetos [B,W], Aquila chrysaetos"
"Arizona,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Connecticut,District of Columbia,Florida,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Rhode Island,South Carolina,Texas,Vermont,Virginia,Wisconsin",NA,NA,NA,"Secure","1997-03-19","Sturnella magna","https://services.itis.gov/?q=tsn:179034","Eastern Meadowlark","Birds","Species","Exact Match","Sturnella magna"
"California,Delaware,Florida,Georgia,Louisiana,Maryland,Mississippi,New Jersey,New York,North Carolina,South Carolina,Texas,Virginia","California,Connecticut,Delaware,Florida,Georgia,Louisiana,Maryland,Mississippi,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Texas,Virginia","Species of Concern","B0EO","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0EO","Secure (breeding), Secure (non-breeding)","1997-03-19","Rynchops niger","https://services.itis.gov/?q=tsn:554447","Black Skimmer","Birds","Species","Exact Match","Rynchops niger"
