"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Eleocharis atropurpurea","Purple Spikerush","Species","Exact Match","Plants","Eleocharis atropurpurea","Missouri,Nebraska","Missouri,Nebraska",2,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Eleocharis"
"Eleocharis coloradoensis","Dwarf Spikerush","Unknown Taxonomic Rank","Legacy Match","Plants","Eleocharis coloradoensis","Nebraska","Nebraska",1,1,NA,NA,NA,NA,NA,NA,NA
"Eleocharis geniculata","Capitate Spikerush","Species","Exact Match","Plants","Eleocharis geniculata","Nebraska","Louisiana,Nebraska",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Eleocharis"
"Eleocharis lanceolata","Lance-like spike rush","Species","Exact Match","Plants","Eleocharis lanceolata","Missouri","Missouri,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Eleocharis"
"Eleocharis quinqueflora","Few-flowered Spikerush","Species","Exact Match","Plants","Eleocharis pauciflora,Eleocharis quinqueflora","Nebraska,Vermont","Massachusetts,Nebraska,Vermont",2,3,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Eleocharis"
"Eleocharis rostellata","Beaked Spikerush","Species","Exact Match","Plants","Eleocharis rostellata","Nebraska","Nebraska,West Virginia",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Eleocharis"
"Eleocharis wolfii","Wolf's Spikerush","Species","Exact Match","Plants","Eleocharis wolfii","Georgia,Nebraska","Georgia,Louisiana,Missouri,Nebraska,Tennessee",2,5,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae","Eleocharis"
"Ellipsaria lineolata","Butterfly","Species","Exact Match","Mollusks","Ellipsaria lineolata","Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin","Illinois,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Mississippi,Ohio,Oklahoma,Pennsylvania,West Virginia,Wisconsin",13,12,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Ellipsaria"
"Ellipsoptera lepida","Ghost Tiger Beetle","Species","Fuzzy Match","Insects","Cicindelalepida,Cicindela lepida,Ellipsoptera lepida","Arkansas,Connecticut,Delaware,Maryland,Michigan,Minnesota,Pennsylvania,South Dakota,Virginia,Wisconsin","Arkansas,Connecticut,Delaware,Maryland,Minnesota,Nebraska,New Jersey,Oklahoma,Pennsylvania,South Dakota,Virginia,Wisconsin",10,12,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Ellipsoptera"
"Ellipsoptera macra","Sandy Stream Tiger Beetle","Species","Fuzzy Match","Insects","Cicindela macra","Arkansas,Michigan,Wisconsin","Arkansas,Wisconsin",3,2,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Ellipsoptera"
"Ellipsoptera macra macra","Sandy Stream Tiger Beetle","Subspecies","Fuzzy Match","Insects","Cicindela macra macra","Minnesota","Minnesota",1,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Ellipsoptera"
"Ellipsoptera nevadica lincolniana","Salt Creek Tiger Beetle","Subspecies","Fuzzy Match","Insects","Cicindela nevadica lincolniana","Nebraska","Nebraska",1,1,"Endangered","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Ellipsoptera"
"Ellipsoptera nevadica makosika","Indian Creek tiger beetle","Subspecies","Fuzzy Match","Insects","Cicindela nevadica makosika","","South Dakota",0,1,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Ellipsoptera"
"Elliptio complanata","Eastern Elliptio","Species","Exact Match","Mollusks","Elliptio complanata","Michigan","Delaware,Michigan,Minnesota,West Virginia,Wisconsin",1,5,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Elliptio"
"Elliptio crassidens","Elephant-ear","Species","Followed Accepted AphiaID","Mollusks","Elliptio crassidens,Elliptio crassidens crassidens","Illinois,Kentucky,Louisiana,Minnesota,Missouri,Ohio,Virginia,West Virginia,Wisconsin","Illinois,Iowa,Kentucky,Louisiana,Minnesota,Missouri,Ohio,Pennsylvania,Virginia,West Virginia,Wisconsin",9,11,NA,"Animalia","Mollusca","Bivalvia","Unionida","Unionidae","Elliptio"
"Elliptio dilatata","Spike","Species","Exact Match","Mollusks","Elliptio dilatata","Alabama,Georgia,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina","Alabama,Illinois,Iowa,Kansas,Louisiana,Minnesota,Mississippi,North Carolina,West Virginia",9,9,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Elliptio"
"Elodea bifoliata","Two-leaf Waterweed","Species","Exact Match","Plants","Elodea bifoliata","Nebraska","Nebraska",1,1,"Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida","Alismatales","Hydrocharitaceae","Elodea"
"Elymus albicans","Montana Wild-rye","Species","Exact Match","Plants","Elymus albicans","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Elymus"
"Elymus churchii","Church's wild rye","Species","Exact Match","Plants","Elymus churchii","","Missouri",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Elymus"
"Elymus trachycaulus ssp. andinus","Awned Slender Wheatgrass","Subspecies","Fuzzy Match","Plants","Elymus trachycaulus var. andinus","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Elymus"
"Elymus virginicus var. intermedius","Virginia Wild-rye","Variety","Exact Match","Plants","Elymus virginicus var. intermedius","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Elymus"
"Elymus X pseudorepens","Rydberg's Wild-rye","Species","Fuzzy Match","Plants","Elymus vulpinus","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Elymus"
"Empidonax minimus","Least Flycatcher","Species","Exact Match","Birds","Empidonax minimus","Connecticut,Delaware,Iowa,Kentucky,Maryland,Michigan,Minnesota,Missouri,New Jersey,Ohio,Rhode Island,Tennessee,Wisconsin","Connecticut,Delaware,Kentucky,Maine,Maryland,New Jersey,Rhode Island,Tennessee,West Virginia,Wisconsin",13,10,NA,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax"
"Empidonax occidentalis","Cordilleran Flycatcher","Species","Exact Match","Birds","Empidonax occidentalis","Colorado,Nebraska","Arizona,Nebraska",2,2,NA,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax"
"Empidonax traillii","Willow Flycatcher","Species","Exact Match","Birds","Empidonax trailii,Empidonax trailli,Empidonax traillii","Arkansas,California,Connecticut,Delaware,Illinois,Iowa,Kentucky,Maine,Maryland,Massachusetts,Minnesota,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,Virginia,Wisconsin,Wyoming","Arkansas,California,Connecticut,Delaware,District of Columbia,Illinois,Kentucky,Maryland,New Jersey,Oklahoma,Oregon,Pennsylvania,Rhode Island,Tennessee,Wyoming",20,15,"Species of Concern","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax"
"Empidonax virescens","Acadian Flycatcher","Species","Exact Match","Birds","Empidonax virescens","Connecticut,District of Columbia,Illinois,Iowa,Maryland,Michigan,Minnesota,Nebraska,New Jersey,Ohio,Rhode Island,South Carolina,Tennessee,Texas,West Virginia,Wisconsin","Delaware,Illinois,Iowa,Maryland,Minnesota,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Rhode Island,South Carolina,Wisconsin",16,13,NA,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Empidonax"
"Emydoidea blandingii","Blanding's Turtle","Species","Exact Match","Reptiles","Emydoidea blandingii,Emys blandingii","Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,South Dakota,Wisconsin","Illinois,Indiana,Iowa,Maine,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New York,Ohio,Pennsylvania,Wisconsin",15,14,NA,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Emydoidea"
"Enallagma basidens","Double-striped Bluet","Species","Exact Match","Insects","Enallagma basidens","Pennsylvania","Delaware,District of Columbia,Wisconsin",1,3,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma boreale","Boreal Bluet","Species","Exact Match","Insects","Enallagma boreale","Iowa,Pennsylvania,West Virginia","Iowa,Ohio,Pennsylvania",3,3,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma clausum","Alkali Bluet","Species","Exact Match","Insects","Enallagma clausum,ENALLAGMA CLAUSUM","Iowa,Wisconsin","Iowa,Wisconsin",2,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma cyathigerum","Northern bluet","Species","Exact Match","Insects","Enallagma cyathigerum,Enallagma cyathigerum(different name in Explorer)","Pennsylvania,Virginia","Ohio,Virginia",2,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma divagans","Turquoise Bluet","Species","Exact Match","Insects","Enallagma divagans","Maryland,Pennsylvania","Delaware,District of Columbia,Ohio,Pennsylvania",2,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma doubledayi","Atlantic Bluet","Species","Exact Match","Insects","Enallagma doubledayi","Connecticut,Maryland,Pennsylvania","Connecticut,Maryland,New Jersey,New York,Ohio,Pennsylvania",3,6,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma ebrium","Marsh bluet","Species","Exact Match","Insects","Enallagma ebrium","Maryland,Virginia","Ohio,Virginia",2,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Enallagma hageni","Hagen's bluet","Species","Exact Match","Insects","Enallagma hageni","Maryland,Virginia","Ohio,Virginia",2,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Enallagma"
"Encoptolophus subgracilis","A Grasshopper","Species","Exact Match","Insects","Encoptolophus subgracilis","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Encoptolophus"
"Epeolus ainsliei","A Cuckoo Bee","Species","Exact Match","Insects","Epeolus ainsliei","","Wisconsin",0,1,NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Epeolus"
"Epeorus suffusus","A mayfly","Species","Exact Match","Insects","Epeorus suffusus","Michigan,New York","Michigan,New York",2,2,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Epiaeschna heros","Swamp Darner","Species","Exact Match","Insects","Epiaeschna heros","Maine,Vermont,West Virginia,Wisconsin","Maine,Vermont,West Virginia,Wisconsin",4,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Epiaeschna"
"Epifagus virginiana","Beech drops","Species","Exact Match","Plants","Epifagus virginiana","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Epifagus"
"Epilobium leptophyllum","Fen willow herb","Species","Exact Match","Plants","Epilobium leptophyllum","Missouri","Missouri,Tennessee",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium"
"Epioblasma brevidens","Cumberlandian Combshell","Species","Exact Match","Mollusks","Epioblasma brevidens","Alabama,Kentucky,Mississippi,Tennessee,Virginia","Alabama,Kentucky,Mississippi,Tennessee,Virginia",5,5,"Experimental Population, Non-Essential","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epioblasma capsaeformis","Oyster Mussel","Species","Exact Match","Mollusks","Epioblasma capsaeformis","Alabama,Kentucky,Tennessee,Virginia","Alabama,Kentucky,Tennessee,Virginia",4,4,"Experimental Population, Non-Essential","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epioblasma florentina","Curtis Pearlymussel","Species","Fuzzy Match","Mollusks","Epioblasma florentina,Epioblasma florentina aureola,Epioblasma florentina curtisi,Epioblasma florentina curtisii,Epioblasma florentina walkeri","Alabama,Arkansas,Kentucky,Missouri,Tennessee,Virginia","Arkansas,Kentucky,Missouri,Tennessee,Virginia",6,5,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epioblasma obliquata","White Catspaw","Species","Fuzzy Match","Mollusks","Epioblasma obliquata*,Epioblasma obliquata obliquata,Epioblasma obliquata perobliqa,Epioblasma obliquata perobliqua","Alabama,Indiana,Kentucky,Michigan,Ohio,Tennessee","Alabama,Indiana,Kentucky,Michigan,Ohio,Tennessee",6,6,"Endangered","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epioblasma rangiana","Northern Riffleshell","Species","Fuzzy Match","Mollusks","Epioblasma rangiana,Epioblasma torulosa rangiana","Indiana,Kentucky,Michigan,New York,Ohio,Pennsylvania,West Virginia","Illinois,Indiana,Kentucky,Michigan,Ohio,Pennsylvania,West Virginia",7,7,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epioblasma torulosa","Tubercled Blossom","Species","Fuzzy Match","Mollusks","Epioblasma torulosa,Epioblasma torulosa gubernaculum,Epioblasma torulosa torulosa","Indiana,New York,Pennsylvania,Virginia","Indiana",4,1,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epioblasma triquetra","Snuffbox","Species","Exact Match","Mollusks","Epioblasma triquetra","Alabama,Arkansas,Illinois,Indiana,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,New York,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Mississippi,Missouri,Ohio,Pennsylvania,Tennessee,Virginia,West Virginia,Wisconsin",17,17,"Endangered","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Epioblasma"
"Epitheca canis","Beaverpond baskettail","Species","Exact Match","Insects","Epitheca canis,Tetragoneuria canis","Maryland,Virginia,West Virginia","Maryland,Ohio,Virginia,West Virginia",3,4,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Epitheca"
"Epitheca costalis","Stripe-winged baskettail","Species","Exact Match","Insects","Epitheca costalis,Tetragoneuria costalis","Delaware,Maryland,Pennsylvania,Virginia","Delaware,Iowa,Maryland,Pennsylvania,Virginia",4,5,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Epitheca"
"Epitheca petechialis","Stripe-winged baskettail","Species","Fuzzy Match","Insects","Epitheca petechialis,Tetragoneuria petechialis","Colorado","Colorado,South Dakota",1,2,NA,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Epitheca"
"Eptesicus fuscus","Big Brown Bat","Species","Fuzzy Match","Mammals","Eptesicus fuscus,Eptisicus fuscus","Alaska,Florida,Louisiana,Ohio,Puerto Rico,Vermont,Wyoming","Connecticut,Delaware,District of Columbia,Florida,Louisiana,Maine,Maryland,Massachusetts,Minnesota,New Hampshire,New Jersey,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Texas,Vermont,Wisconsin,Wyoming",7,20,NA,"Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus"
"Equisetum fluviatile","Water Horsetail","Species","Exact Match","Plants","Equisetum fluviatile","Nebraska","Nebraska,West Virginia",1,2,NA,"Plantae","Tracheophyta","Polypodiopsida","Equisetales","Equisetaceae","Equisetum"
"Eragrostis capillaris","Lace Grass","Species","Exact Match","Plants","Eragrostis capillaris","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Eragrostis"
"Eragrostis frankii","Sandbar Lovegrass","Species","Exact Match","Plants","Eragrostis frankii","","Massachusetts,Nebraska",0,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Eragrostis"
"Eragrostis pilosa var. perplexa","Playa Lovegrass","Variety","Exact Match","Plants","Eragrostis pilosa var. perplexa","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Eragrostis"
"Eragrostis reptans","Creeping Lovegrass","Species","Exact Match","Plants","Eragrostis reptans","Missouri","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Eragrostis"
"Eragrostis secundiflora","Red Lovegrass","Species","Fuzzy Match","Plants","Eragrostis secundiflora var. capitata","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Eragrostis"
"Erastria coloraria","Broad-lined catopyrrha","Species","Exact Match","Insects","Erastria coloraria","Illinois,New Hampshire,New York,Pennsylvania","Illinois,Maryland,New Hampshire,New Jersey,Pennsylvania",4,5,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Erastria"
"Erebia discoidalis","Red-disked Alpine","Species","Exact Match","Insects","Erebia discoidalis","Michigan,Wisconsin","Michigan",2,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia"
"Erebia mancinus","Disa Alpine","Species","Exact Match","Insects","Erebia mancinus","","Minnesota",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia"
"Eremophila alpestris","Horned Lark","Species","Exact Match","Birds","Eremophila alpestris","Connecticut,Maine,New Hampshire,New Jersey,New York,North Carolina,Ohio,Rhode Island,Texas,West Virginia","Connecticut,Delaware,Iowa,Maine,Massachusetts,New Hampshire,New Jersey,New York,Rhode Island,West Virginia",10,10,NA,"Animalia","Chordata","Aves","Passeriformes","Alaudidae","Eremophila"
"Erigeron caespitosus","Tufted Fleabane","Species","Exact Match","Plants","Erigeron caespitosus","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"Erigeron divergens","Spreading Fleabane","Species","Exact Match","Plants","Erigeron divergens","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"Erigeron lonchophyllus","Short-ray Fleabane","Species","Exact Match","Plants","Erigeron lonchophyllus","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"Erigeron ochroleucus","Buff Fleabane","Species","Exact Match","Plants","Erigeron ochroleucus","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"Erigeron subtrinervis","Three-nerve Fleabane","Species","Exact Match","Plants","Erigeron subtrinervis","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"Erigeron vetensis","Early Blue-top Fleabane","Species","Exact Match","Plants","Erigeron vetensis","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"Erimystax dissimilis","Streamline Chub","Species","Exact Match","Fish","Erimystax dissimilis","Alabama,New York,Ohio,Pennsylvania,Tennessee,Virginia","Alabama,Ohio,Pennsylvania,Tennessee,West Virginia",6,5,NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Erimystax"
"Erimystax harryi","Ozark chub","Species","Exact Match","Fish","Erimystax harryi","Arkansas","Missouri",1,1,"Under Review in the Candidate or Petition Process","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Erimystax"
