"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Pyrrhopappus grandiflorus","Tuberous False Dandelion","Species","Exact Match","Plants","Pyrrhopappus grandiflorus","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pyrrhopappus"
"Quadrula fragosa","Winged Mapleleaf","Species","Exact Match","Mollusks","Quadrula fragosa","Arkansas,Kentucky,Minnesota,Missouri,Oklahoma,Tennessee,Wisconsin","Arkansas,Kentucky,Minnesota,Missouri,Ohio,Oklahoma,Tennessee,Wisconsin",7,8,"Endangered","Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Quadrula"
"Quadrula nobilis","Gulf Mapleleaf","Species","Exact Match","Mollusks","Quadrula nobilis","Arkansas","Arkansas,Illinois",1,2,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Quadrula"
"Quadrula quadrula","Mapleleaf","Species","Exact Match","Mollusks","Quadrula quadrula","Kansas,New York,North Dakota,Pennsylvania,South Dakota,West Virginia,Wisconsin","Iowa,North Dakota,Pennsylvania,South Dakota,West Virginia,Wisconsin",7,6,NA,"Animalia","Mollusca","Bivalvia","Unionoida","Unionidae","Quadrula"
"Quercus alba","White Oak","Species","Exact Match","Plants","Quercus alba","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus"
"Quercus marilandica var. marilandica","Blackjack Oak","Variety","Exact Match","Plants","Quercus marilandica var. marilandica","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus"
"Quercus nigra","Water oak","Species","Exact Match","Plants","Quercus nigra","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus"
"Quercus prinoides","Dwarf Chinquapin Oak","Species","Exact Match","Plants","Quercus prinoides","Missouri,Nebraska,Vermont","Connecticut,Missouri,Vermont,West Virginia",3,4,NA,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus"
"Quercus texana","Nuttall's oak","Species","Exact Match","Plants","Quercus texana","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus"
"Rallus elegans","King Rail","Species","Exact Match","Birds","Rallus elegans,Rallus elegans 15,Rallus elegans 16","Arkansas,Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin","Alabama,Arkansas,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Wisconsin",29,30,"Species of Concern","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus"
"Rallus limicola","Virginia Rail","Species","Exact Match","Birds","Rallus limicola","Connecticut,District of Columbia,Indiana,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New Jersey,North Carolina,Ohio,Pennsylvania,Texas,Virginia,West Virginia,Wyoming","Arizona,Connecticut,Delaware,District of Columbia,Indiana,Kentucky,Minnesota,Missouri,New Jersey,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Virginia,West Virginia,Wyoming",16,18,NA,"Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus"
"Ramphocorixa acuminata","Acuminate water boatman","Species","Exact Match","Insects","Ramphocorixa acuminata","Virginia,Wisconsin","Virginia,Wisconsin",2,2,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Ramphocorixa"
"Ranunculus fascicularis","Early Buttercup","Species","Exact Match","Plants","Ranunculus fascicularis","Nebraska","Nebraska,South Carolina",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus"
"Ranunculus glaberrimus var. ellipticus","Sagebrush Buttercup","Variety","Exact Match","Plants","Ranunculus glaberrimus var. ellipticus","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus"
