"scientificname","statelist_2015","Montana","Wyoming","Colorado","North Dakota","South Dakota","Nebraska","Kansas"
"Calopteryx aequabilis","Colorado,Maryland,Ohio,Pennsylvania,Virginia",0,0,1,0,0,0,0
"Calopteryx maculata","Colorado",0,0,1,0,0,0,0
"Caltha palustris","Missouri,Nebraska,Tennessee",0,0,0,0,0,1,0
"Cambarus diogenes","District of Columbia,Iowa,Ohio,Wyoming",0,1,0,0,0,0,0
"Camelobaetidius warreni","Colorado",0,0,1,0,0,0,0
"Campeloma crassulum","Kansas,Missouri",0,0,0,0,0,0,1
"Campostoma anomalum","Louisiana,South Carolina,Wyoming",0,1,0,0,0,0,0
"Campostoma oligolepis","Illinois,Iowa,North Dakota",0,0,0,1,0,0,0
"Canis lupus","California,Colorado,Illinois,New Hampshire,Oregon,Utah,Washington",0,0,1,0,0,0,0
"Capnia nelsoni","Colorado",0,0,1,0,0,0,0
"Caprimulgus carolinensis","Delaware,Florida,Iowa,Kentucky,Missouri,Nebraska,New Jersey,South Carolina,Tennessee,Texas",0,0,0,0,0,1,0
"Caprimulgus vociferus","Delaware,Florida,Iowa,Kentucky,Michigan,Missouri,Nebraska,New Jersey,New York,Oklahoma,South Carolina,Tennessee,Vermont",0,0,0,0,0,1,0
"Cardamine bulbosa","Nebraska,Vermont",0,0,0,0,0,1,0
"Cardamine concatenata","Nebraska",0,0,0,0,0,1,0
"Cardamine parviflora","Nebraska,Vermont",0,0,0,0,0,1,0
"Cardamine pensylvanica","Nebraska",0,0,0,0,0,1,0
"Carex albursina","Nebraska",0,0,0,0,0,1,0
"Carex annectens","Nebraska",0,0,0,0,0,1,0
"Carex aquatilis var. substricta","Nebraska,West Virginia",0,0,0,0,0,1,0
"Carex aureolensis","Nebraska",0,0,0,0,0,1,0
"Carex bebbii","Nebraska",0,0,0,0,0,1,0
"Carex bushii","Massachusetts,Nebraska,Vermont,West Virginia",0,0,0,0,0,1,0
"Carex buxbaumii","Missouri,Nebraska,Tennessee,Vermont,West Virginia",0,0,0,0,0,1,0
"Carex crus-corvi","Nebraska",0,0,0,0,0,1,0
"Carex frankii","Nebraska",0,0,0,0,0,1,0
"Carex hirtifolia","Nebraska,Tennessee,West Virginia",0,0,0,0,0,1,0
"Carex lasiocarpa","Nebraska,West Virginia",0,0,0,0,0,1,0
"Carex limosa","Nebraska",0,0,0,0,0,1,0
"Carex lupulina","Nebraska",0,0,0,0,0,1,0
"Carex missouriensis","Nebraska",0,0,0,0,0,1,0
"Carex normalis","Nebraska,West Virginia",0,0,0,0,0,1,0
"Carex radiata","Nebraska",0,0,0,0,0,1,0
"Carex rossii","Nebraska",0,0,0,0,0,1,0
"Carex texensis","Nebraska",0,0,0,0,0,1,0
